customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
TQ13499,,,,473174.93%,69833.0,118.0,1/0/00,Personal Auto,Four-Door Car,828.662719
BU44523,,,,802637.96%,0.0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.8
MS41162,,,,402296.35%,0.0,117.0,1/0/00,Personal Auto,SUV,975.107098
PU25891,,,,961831.09%,80536.0,119.0,1/0/00,Special Auto,Sports Car,53.798708
LH92841,WA,F,,725595.38%,88891.0,89.0,1/0/00,Personal Auto,Four-Door Car,50.528355
SX26335,,,,955292.69%,97732.0,79.0,1/0/00,Personal Auto,Four-Door Car,289.9122
AZ95587,,F,Bachelors,1038855.32%,61222.0,89.0,1/0/00,Special Auto,Four-Door Car,392.604371
DS81757,,M,,247012.12%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,721.242206
OJ94107,,M,,561906.85%,50335.0,140.0,1/0/00,Personal Auto,SUV,456.52385
LP84436,Cali,F,,904711.92%,0.0,127.0,1/0/00,Personal Auto,Sports Car,1087.995426
FF22360,WA,F,,268731.41%,82210.0,68.0,1/4/00,Personal Auto,Four-Door Car,51.961915
LM19287,,F,,373150.46%,0.0,96.0,1/0/00,Personal Auto,Four-Door Car,460.8
ZU18643,,M,Bachelors,366077.03%,64495.0,92.0,1/0/00,Corporate Auto,Four-Door Car,251.992083
AZ82578,Cali,F,,792882.93%,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6
XC67861,AZ,F,Bachelors,501175.16%,28859.0,67.0,1/3/00,Corporate Auto,Two-Door Car,321.6
YC43143,AZ,F,,798825.83%,77330.0,99.0,1/0/00,Personal Auto,Four-Door Car,99.257608
EK59571,,M,,388545.64%,0.0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0
PA38372,WA,F,,935773.78%,33060.0,117.0,1/0/00,Personal Auto,Four-Door Car,56.731578
RO18530,WA,M,,254068.98%,42557.0,65.0,1/0/00,Personal Auto,Four-Door Car,57.562324
PD27940,AZ,M,,488516.25%,26372.0,126.0,1/0/00,Personal Auto,SUV,604.8
BS77946,AZ,F,Bachelors,975330.71%,17514.0,127.0,1/0/00,Personal Auto,SUV,8.312729
YM50253,Cali,F,Bachelors,294615.37%,89270.0,74.0,1/0/00,Personal Auto,Four-Door Car,316.599228
NR15332,Cali,M,,258111.09%,29757.0,65.0,1/0/00,Personal Auto,Four-Door Car,312.0
RC62865,,M,,351738.58%,51814.0,92.0,1/0/00,Personal Auto,Four-Door Car,56.300724
CC15295,,F,Bachelors,974335.01%,24028.0,82.0,1/0/00,Personal Auto,Four-Door Car,393.6
KA61892,AZ,M,,387364.70%,28142.0,105.0,1/0/00,Personal Auto,Sports Car,701.708239
OS94884,AZ,F,Bachelors,764928.20%,52705.0,64.0,1/1/00,Personal Auto,Two-Door Car,128.705563
ND87334,Cali,M,,228759.69%,0.0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.368378
OY51402,WA,F,,825576.39%,54040.0,103.0,1/0/00,Personal Auto,SUV,59.987126
YL74911,Cali,F,,871492.21%,0.0,118.0,1/0/00,Personal Auto,SUV,566.4
GK92563,WA,F,,681923.12%,22492.0,85.0,1/0/00,Personal Auto,Two-Door Car,61.654262
HL53154,Cali,M,Bachelors,741619.73%,0.0,77.0,1/2/00,Personal Auto,Four-Door Car,554.4
RI78966,,M,,777115.90%,21876.0,68.0,1/0/00,Personal Auto,Four-Door Car,465.41477
IC13702,Cali,F,Bachelors,696834.19%,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,496.8
BE10809,Cali,F,,425028.26%,0.0,61.0,1/1/00,Personal Auto,Four-Door Car,292.8
HT87217,,F,,1977656.65%,70699.0,82.0,1/0/00,Personal Auto,Four-Door Car,256.813837
TH95618,Cali,F,,2134346.60%,0.0,74.0,1/1/00,Personal Auto,Four-Door Car,355.2
TS19868,Cali,M,,241313.97%,27501.0,63.0,1/0/00,Personal Auto,Four-Door Car,542.319401
LP45550,,F,,1536384.72%,15897.0,101.0,1/0/00,Personal Auto,Four-Door Car,303.148399
QR87004,,F,,845696.19%,25141.0,73.0,1/1/00,Personal Auto,Four-Door Car,25.438063
OE75747,,F,,218964.25%,0.0,61.0,1/3/00,Personal Auto,Four-Door Car,292.8
DX91392,Cali,M,,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313
AB72731,Cali,F,Bachelors,463998.16%,28358.0,117.0,1/0/00,Personal Auto,Sports Car,84.024413
GX84338,WA,F,,382443.13%,62530.0,95.0,1/0/00,Personal Auto,Four-Door Car,61.693771
IS12901,AZ,F,Bachelors,596811.89%,90972.0,74.0,1/0/00,Personal Auto,Two-Door Car,232.926145
BN90616,WA,F,Bachelors,859033.50%,63110.0,72.0,1/0/00,Personal Auto,Four-Door Car,68.179721
HH90090,Cali,F,Bachelors,407663.47%,29549.0,104.0,1/0/00,Personal Auto,Sports Car,710.433775
IU25463,Cali,F,Bachelors,1225260.18%,0.0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0
KC11055,,F,Bachelors,1693627.15%,39411.0,217.0,1/2/00,Personal Auto,Luxury Car,1122.658899
PD33979,,M,,489243.55%,21709.0,62.0,1/0/00,Personal Auto,Four-Door Car,408.374746
NK71023,,M,Bachelors,994230.48%,67890.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0
AB13432,Cali,M,Bachelors,373583.81%,0.0,110.0,1/0/00,Personal Auto,SUV,792.0
OZ97704,Cali,F,,1311752.22%,84311.0,111.0,1/4/00,Personal Auto,SUV,532.8
UF46533,Cali,F,,457452.41%,99316.0,114.0,1/0/00,Corporate Auto,SUV,754.358929
XP47431,AZ,F,Bachelors,547006.06%,54507.0,138.0,1/0/00,Personal Auto,SUV,702.990032
GK73582,Cali,F,Bachelors,297884.60%,64586.0,76.0,1/0/00,Personal Auto,Four-Door Car,206.837111
RV98763,,M,,641096.75%,61709.0,82.0,1/2/00,Personal Auto,Four-Door Car,275.395894
II62831,Cali,M,,447902.31%,94656.0,111.0,1/1/00,Special Auto,SUV,459.738128
XK33449,Cali,F,,238373.19%,0.0,69.0,1/0/00,Special Auto,Two-Door Car,496.8
TR85083,Cali,M,Bachelors,276449.37%,61085.0,70.0,1/1/00,Personal Auto,Two-Door Car,336.0
EO95328,,F,Bachelors,792010.54%,89284.0,67.0,1/3/00,Personal Auto,Two-Door Car,321.6
EN21086,AZ,F,,688909.80%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4
YL83902,,F,Bachelors,327419.46%,31686.0,81.0,1/0/00,Personal Auto,Four-Door Car,430.994107
AZ62651,,M,,995170.77%,56855.0,255.0,1/0/00,Corporate Auto,Luxury SUV,1836.0
ZW25874,,M,Bachelors,252155.57%,53703.0,67.0,1/2/00,Special Auto,Four-Door Car,67.632476
EH41854,,F,,2370611.34%,0.0,96.0,1/1/00,Personal Auto,Two-Door Car,844.481918
MW70227,Cali,M,,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8
SL22297,Cali,F,,1114030.25%,27679.0,150.0,1/0/00,Personal Auto,SUV,722.486994
RV14138,,F,Bachelors,433406.41%,23904.0,123.0,1/3/00,Personal Auto,SUV,590.4
UO62808,AZ,F,,279974.79%,65351.0,69.0,1/0/00,Corporate Auto,Four-Door Car,481.027516
ZX64745,Cali,M,,792313.66%,0.0,113.0,1/0/00,Personal Auto,SUV,1124.427734
FL34139,Cali,M,,368811.09%,0.0,63.0,1/3/00,Personal Auto,Four-Door Car,669.682001
TS11219,Cali,M,,1206745.60%,0.0,116.0,1/0/00,Personal Auto,SUV,1284.093173
XX12304,Cali,F,,292497.67%,64459.0,72.0,1/0/00,Personal Auto,Four-Door Car,240.259479
SD64087,Cali,M,,1501409.27%,32961.0,190.0,1/0/00,Corporate Auto,SUV,912.0
OY38576,,F,,927723.38%,71416.0,116.0,1/0/00,Corporate Auto,SUV,556.8
BG76355,,F,Bachelors,627412.39%,68964.0,78.0,1/0/00,Personal Auto,Four-Door Car,115.086827
IP66913,,M,,388664.74%,78108.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.4
LE95702,,M,,438627.76%,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.6
KX54357,,M,,1136526.77%,84910.0,95.0,1/0/00,Corporate Auto,Two-Door Car,383.167471
EZ78112,,F,,561096.43%,77493.0,70.0,1/0/00,Special Auto,Four-Door Car,307.963291
XN16891,AZ,M,,291289.20%,81097.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2
XK31350,,F,,691572.99%,96610.0,85.0,1/0/00,Corporate Auto,Four-Door Car,520.364752
CC30924,,M,,626266.33%,30110.0,159.0,1/0/00,Corporate Auto,Sports Car,466.436375
IT78748,,F,,650339.70%,22081.0,84.0,1/0/00,Special Auto,Two-Door Car,451.670309
KY33386,,F,,800739.94%,0.0,112.0,1/0/00,Personal Auto,Sports Car,537.6
CO44221,,M,,292991.65%,98473.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6
LK60013,,F,Bachelors,596955.30%,97431.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2
DE21533,,M,Bachelors,547315.99%,93870.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2
YS94121,,M,,564539.67%,50366.0,72.0,1/0/00,Personal Auto,Four-Door Car,428.734656
UK68427,,M,,636926.24%,34498.0,83.0,1/0/00,Personal Auto,Two-Door Car,398.4
TE49565,,F,,1183376.73%,16552.0,103.0,1/0/00,Personal Auto,SUV,494.4
RA88421,,F,,612110.79%,26787.0,77.0,1/0/00,Personal Auto,Four-Door Car,369.6
KQ51983,,M,,515936.97%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,831.752839
CD88896,,F,,251459.20%,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914
YV22553,AZ,M,,866861.13%,21474.0,114.0,1/2/00,Corporate Auto,SUV,373.428187
WU14435,,M,Bachelors,496096.54%,18174.0,66.0,1/0/00,Corporate Auto,Four-Door Car,395.934815
XV84099,AZ,F,Bachelors,550413.90%,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4
RI24911,AZ,M,,750745.54%,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.201886
KO26461,AZ,M,,3226985.14%,41520.0,90.0,1/0/00,Personal Auto,Four-Door Car,289.904105
HI14283,,F,Bachelors,565703.16%,0.0,152.0,1/0/00,Personal Auto,SUV,729.6
PT50227,AZ,M,,506175.79%,0.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4
BH36570,,M,Bachelors,591278.38%,72208.0,73.0,1/0/00,Personal Auto,Two-Door Car,350.4
TX17484,,F,Bachelors,1518227.98%,53863.0,63.0,1/0/00,Personal Auto,Four-Door Car,105.765111
CT41158,,M,,1074703.09%,66446.0,136.0,1/0/00,Corporate Auto,SUV,639.464548
AO87348,,M,,205062.35%,0.0,61.0,1/0/00,Personal Auto,Four-Door Car,292.8
DE55857,,F,Bachelors,246544.49%,64997.0,63.0,1/1/00,Personal Auto,Four-Door Car,383.442328
LF66923,,F,,534312.13%,64460.0,66.0,1/0/00,Corporate Auto,Two-Door Car,316.8
CN24514,AZ,F,,811982.91%,46618.0,67.0,1/0/00,Personal Auto,Four-Door Car,99.085943
UW32074,,F,,460526.52%,0.0,64.0,1/0/00,Corporate Auto,Four-Door Car,307.2
HP36979,,M,,640878.56%,49988.0,84.0,1/5/00,Personal Auto,Two-Door Car,566.935022
PP40919,,F,,237653.35%,0.0,91.0,1/5/00,Personal Auto,Two-Door Car,436.8
RO73268,,M,Bachelors,321107.00%,16269.0,86.0,1/0/00,Corporate Auto,Two-Door Car,412.8
HO61691,AZ,F,Bachelors,509452.23%,72006.0,64.0,1/0/00,Personal Auto,Four-Door Car,307.2
BS13062,AZ,F,,2575527.82%,0.0,81.0,1/2/00,Personal Auto,Four-Door Car,388.8
FO35655,,M,Bachelors,867222.97%,0.0,245.0,1/0/00,Corporate Auto,Luxury SUV,2345.413441
HR10526,,M,,804473.07%,44320.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
IA63417,AZ,F,,400151.91%,19782.0,108.0,1/0/00,Personal Auto,Two-Door Car,773.470977
BH35016,,F,Bachelors,1670611.70%,63933.0,70.0,1/0/00,Personal Auto,Two-Door Car,424.883448
PK52952,AZ,M,,854441.11%,28224.0,109.0,1/0/00,Personal Auto,SUV,523.2
OD76309,,F,,780531.29%,21073.0,106.0,1/1/00,Personal Auto,SUV,508.8
IL28481,,M,Bachelors,611275.69%,63243.0,77.0,1/0/00,Personal Auto,Four-Door Car,364.240307
GY55092,,M,,477294.38%,20993.0,133.0,1/0/00,Personal Auto,SUV,638.4
UF33451,,F,Bachelors,1097909.56%,94827.0,135.0,1/0/00,Personal Auto,SUV,354.729129
CF15558,,F,,500426.38%,39161.0,63.0,1/1/00,Personal Auto,Two-Door Car,283.995953
JM62924,,M,Bachelors,1322304.38%,37534.0,84.0,1/2/00,Personal Auto,Four-Door Car,403.2
EM66435,,F,Bachelors,262331.54%,80210.0,65.0,1/0/00,Corporate Auto,Four-Door Car,20.543176
QX45933,,M,Bachelors,1784019.56%,0.0,62.0,1/0/00,Personal Auto,Four-Door Car,385.115437
JI71369,,F,,510611.18%,30110.0,64.0,1/0/00,Personal Auto,Four-Door Car,140.165035
JU93290,AZ,F,,1793060.45%,21708.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4
GU66096,AZ,M,,545734.26%,94731.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
UC33108,,M,Bachelors,656364.41%,32375.0,83.0,1/0/00,Personal Auto,Four-Door Car,398.4
LW93867,,M,,481252.52%,16531.0,63.0,1/0/00,Corporate Auto,Four-Door Car,102.879769
OU78470,AZ,F,,2932804.19%,32006.0,94.0,1/0/00,Corporate Auto,Four-Door Car,56.868289
XW90265,AZ,F,Bachelors,577352.07%,81676.0,72.0,1/0/00,Personal Auto,Two-Door Car,463.158502
